,gene,cluster
0,Kcnn3,AM
1,Atp6v0d2,AM
2,Olr1,AM
3,F7,AM
4,Popdc3,AT1
5,Spock2,AT1
6,Rtkn2,AT1
7,Akap5,AT1
8,Lama3,AT1
9,S100g,AT2
10,Egfl6,AT2
11,Lgi3,AT2
12,Mlc1,AT2
13,Il33,AT2
14,Fcmr,B_cells
15,Cd79a,B_cells
16,Ebf1,B_cells
17,Ms4a1,B_cells
18,Fcer1a,Basophils
19,Mcpt8,Basophils
20,Cyp11a1,Basophils
21,Il4,Basophils
22,Ms4a2,Basophils
23,Spag17,Ciliated
24,Stk33,Ciliated
25,Gm867,Ciliated
26,4833427G06Rik,Ciliated
27,Stmnd1,Ciliated
28,Fmo3,Club
29,Cldn10,Club
30,Gabrp,Club
31,Chad,Club
32,Clec9a,DC
33,Tnni2,DC
34,Ccl17,DC
35,Xcr1,DC
36,Sept3,DC
37,Tspan7,EC
38,Adgrl4,EC
39,Cdh5,EC
40,Ramp2,EC
41,Clec14a,EC
42,Pdgfra,Fibroblasts
43,Col13a1,Fibroblasts
44,Cdh11,Fibroblasts
45,Dpep1,Fibroblasts
46,Abca8a,Fibroblasts
47,C1qb,IM
48,C1qc,IM
49,C1qa,IM
50,C3ar1,IM
51,Ms4a7,IM
52,Wt1,Mesotheliocytes
53,Bnc1,Mesotheliocytes
54,Chst4,Mesotheliocytes
55,Lgals2,Mesotheliocytes
56,Clec4a1,Monocytes
57,Ifitm6,Monocytes
58,Gpr141,Monocytes
59,Adgre4,Monocytes
60,Nkg7,NK_T_cells
61,Eomes,NK_T_cells
62,Ccl5,NK_T_cells
63,Gzmk,NK_T_cells
64,Il2rb,NK_T_cells
65,Ctsw,NK_T_cells
66,Ms4a4b,NK_T_cells
67,Klrb1c,NK_cells
68,Klre1,NK_cells
69,Ncr1,NK_cells
70,Gzmb,NK_cells
71,Cxcr2,Neutrophils
72,Mmp9,Neutrophils
73,Csf3r,Neutrophils
74,Acod1,Neutrophils
75,Retnlg,Neutrophils
76,Gm21541,Platelets
77,Ccl21a,Platelets
78,Reln,Platelets
79,Mmrn1,Platelets
80,Lmod1,SMC
81,Actg2,SMC
82,Myocd,SMC
83,Map3k7cl,SMC
84,Trbc2,T_cells
85,Cd3g,T_cells
86,Cd3d,T_cells
87,Cd3e,T_cells
